playerName,age,hometown,college,team,number,height,weight,experience,id
"Walton, L.T.",25.0,"Detroit , MI",Central Michigan,Pittsburgh Steelers,96,195.58,138.35,3rd season,l.t.walton/2552444
"Coleman, Kurt",29.0,"Dayton , OH",Ohio State,Carolina Panthers,20,180.34,90.72,8th season,kurtcoleman/494261
"Carrie, T.J.",26.0,"Rodeo , CA",Ohio U.,Oakland Raiders,38,182.88,92.99,4th season,t.j.carrie/2550164
"Johnson, Trumaine",27.0,"Stockton , CA",Montana,Los Angeles Rams,22,187.96,94.35,6th season,trumainejohnson/2532877
"Beadles, Zane",30.0,"Casper , WY",Utah,San Francisco 49ers,68,193.04,138.35,8th season,zanebeadles/496980
"Savage, Tom",27.0,"Clifton Heights , PA",Pittsburgh,Houston Texans,3,193.04,104.33,4th season,tomsavage/2543640
"Tunsil, Laremy",22.0,"Harvey , LA",Mississippi,Miami Dolphins,67,195.58,143.34,2nd season,laremytunsil/2555201
"Riley, Perry",29.0,"Atlanta , GA",LSU,Oakland Raiders,54,182.88,108.86,8th season,perryriley/496949
"Blackmon, Will",32.0,"Providence , RI",Boston College,Washington Redskins,41,182.88,96.16,11th season,willblackmon/2495809
"Jackson, Malik",27.0,"Los Angeles , CA",Tennessee,Jacksonville Jaguars,90,195.58,136.08,6th season,malikjackson/2532873
"Fulton, Zach",25.0,"Matteson , IL",Tennessee,Kansas City Chiefs,73,195.58,143.34,4th season,zachfulton/2543862
"Tate, Brandon",29.0,"Burlington , NC",North Carolina,Buffalo Bills,15,185.42,88.45,9th season,brandontate/81306
"Liuget, Corey",27.0,"Miami , FL",Illinois,Los Angeles Chargers,94,187.96,136.08,7th season,coreyliuget/2495483
"Herzlich, Mark",29.0,"Kirkwood , MO",Boston College,New York Giants,44,193.04,111.58,7th season,markherzlich/2495164
"Johnson, T.J.",26.0,"Moncks Corner , SC",South Carolina,Cincinnati Bengals,60,193.04,136.08,4th season,t.j.johnson/2540251
"Lewan, Taylor",25.0,"Scottsdale , AZ",Michigan,Tennessee Titans,77,200.66,140.16,4th season,taylorlewan/2550132
"Chung, Patrick",29.0,Kingston Jamaica,Oregon,New England Patriots,23,180.34,97.52,9th season,patrickchung/71251
"Drake, Kenyan",23.0,"Powder Springs , GA",Alabama,Miami Dolphins,32,185.42,97.98,2nd season,kenyandrake/2555230
"Rollins, Quinten",24.0,"Canton , OH",Miami (Ohio),Green Bay Packers,24,180.34,88.45,3rd season,quintenrollins/2552263
"Fant, George",24.0,"Cincinnati , OH",Western Kentucky,Seattle Seahawks,74,195.58,134.26,2nd season,georgefant/2556524
"Tripp, Jordan",26.0,"Missoula , MT",Montana,Green Bay Packers,58,193.04,110.68,4th season,jordantripp/2550147
"Showers, Jameill",25.0,"Alpine , TX",Texas-El Paso,Dallas Cowboys,7,187.96,104.33,1st season,jameillshowers/2553600
"Perry, Joshua",23.0,"Nashville , TN",Ohio State,Los Angeles Chargers,53,193.04,114.76,2nd season,joshuaperry/2555326
